question_id,question,rank,chunk_id,title,authors,year,source,similarity_score,relevant,reason,retrieved_context
Q1,What are the main factors contributing to academic stress among undergraduate students?,1,DOC012_CHUNK_003,The Relationship Between Academic Stress and Academic Performance of Undergraduate Students from Public and Private Universities in Lahore,Rabiya Safdar and Sana Javaid,2023,paper_12.txt,0.7732,Yes,"This result is relevant because it explains that academic pressure, heavy workload, uncertainty, and academic expectations contribute to student stress.","recommended that academic institutions focus on providing support and resources for all students, regardless of gender, to dealing with stress and managing it effectively. --- Page 2 --89 PJER, Vol 6, Issue 3 (2023) The relationship between… KEYWORDS Academic Stress, Academic Performance, Undergraduate Students, Public and private universities INTRODUCTION The education system plays a crucial role in preparing individuals for their societal roles, shaping their self-perception and providing the necessary groundwork for their future engagement in society beyond just the workplace (Evans, 2006). Academic stress, which refers to the psychological distress experienced by students due to the demands and expectations placed on them in their academic lives (Gadzella et al., 1996). According to Stallman (2010), university students may experience stress, which can have a negative impact on their academic performance and mental health. Various sources of stress that can negatively impact academic performance include academic pressure, workload and uncertainty (Beanlands et al., 2019; Ching et al., 2020). Academic performance determines a student's future career opportunities and personal growth such as improved critical thinking skills, increased confidence, (Sirin, 2005). According to"
Q1,What are the main factors contributing to academic stress among undergraduate students?,2,DOC012_CHUNK_005,The Relationship Between Academic Stress and Academic Performance of Undergraduate Students from Public and Private Universities in Lahore,Rabiya Safdar and Sana Javaid,2023,paper_12.txt,0.7671,Yes,y,"These Students may face social, emotional, physical, and family problems, which can affect their academic performance (Fish & Nies, 1996; Chew Graham et al., 2003). Students at all educational levels experience stress in their academic careers. Academic stress is caused by high expectations, difficulty, or workload for students, and it c an lead to depression and anxiety. Furthermore, it hinders students' ability to focus and perform well in their studies. Stress can also cause physical symptoms such as headaches, fatigue, and insomnia . Research has shown that academic stress can have a ne gative effect on students' academic performance, leading to lower grades, increased absenteeism, and decreased motivation (Misra & McKean, 2000; Brougham et al., 2009). LITERATURE REVIEW Academic stress is a common problem among students, and it has been shown to have a negative impact on academic performance (Saridaki et al., 2019). The purpose of this literature review is to look into the relationship between academic stress and --- Page 3 --90 PJER, Vol 6, Issue 3 (2023) The relationship between… academic performance among undergraduate students from public and"
Q1,What are the main factors contributing to academic stress among undergraduate students?,3,DOC006_CHUNK_009,Exploring English-majored Students' Academic Stress and Coping Strategies: A Mixed Method Research at a Private University,Truong Dinh Minh Dang,2025,paper_06.txt,0.7571,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","include career decision -making, forming new relationships, adapting to unfamiliar ideas that challenge prior beliefs, and adjusting to living away from home (Lumley & Provenzano, 2003). Baker emphasizes that the succes s of this adjustment largely depends on a student’s ability to c ope with stress, which subsequently influences their academic motivation and performance. DeBerard, Spielmans, and Julka (2004) propose that social support from friends, peers, and religi ous communities serves as a protective factor, assisting students in managing stress during this transitional phase. In academic environments, stress commonly stems from high expectations, information overload, academic pressure, unrealistic goals, limit ed opportunities, and intense competition, all of which contribute to a nxiety, fear, and tension among students (Sinha, Sharma, & Nepal, 2001). Dahlin, Joneborg, and Runeson (2005) found that undergraduate students experience the highest levels of study related pressure. Likewise, research by Misra, Mckean, West, and Russo (2 000) identified the pressure of meeting assessment deadlines as a significant source of stress for students. Academic stress is often associated with exam preparation, competit ion for grades, and the challenge of"
Q1,What are the main factors contributing to academic stress among undergraduate students?,4,DOC020_CHUNK_008,Effects of Academic Stress on Mental Health Issues Among University Students,"Mahvish Fatima Kashif, Rabia Tabassum, and Sumaira Bibi",2024,paper_20.txt,0.754,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","(Wang et al., 2022b). Objectives of Study 1. To explore difference in academic stress on demographic variables among undergraduate students. 2. To explore the effect of the academic stress on the mental health issues of undergraduate students. Research Hypotheses Ho1: There are no significant group differences in stress on the gender of undergraduate students. Ho2: There is no significant group mean difference in stress in the age of undergraduate students. Ho3: There is no significant effect of academic stress on mental health issues among the students. Significance of Study 1. School administrators, course content designers, and counselors to include learners with the educational career guidance and advice. 2. For parents to help their children study and to be specific about their academic needs and therefore reduce their academic stress. 3. For students, it may be helpful to understand the unknown mental burdens and to learn how to minimize them. LITERATURE REVIEW Stress has become a trademark experienced by students across the world as a health or pathological condition and negative emotional, cognitive, behavioral, and physiological response (Steare et al., 2023b)."
Q1,What are the main factors contributing to academic stress among undergraduate students?,5,DOC019_CHUNK_009,"Perceived and Academic Stress Levels in First Year Undergraduates of Selected Degree Awarding Institutions in Western Province, Sri Lanka, and Exploring Their Methods of Coping with Stress",Ushamandhani Mohanraj,2018,paper_19.txt,0.752,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","is the person. While the negative effects of stress on an individual may vary considerably from one student based on their previous encounter with situations and the resilient of the individual student. In their findings (Jaramillo et al., 2005; Stevenson and Harper, 2006) point out that, the perception of the individual determines whether or not the stressor has a detrimental effect; that is whether it causes physical or psychological symptoms of stress in the individual. Earlier study by Siegrist (1998) also indicated a close link between high amounts of occupational stress and ill heath. This means that deterioration in health of the individual is likely to affect the individual performance. In a higher learning institution such as University (Smith et al., 2000) where the demand placed on students is based on deadlines and pressure for excelling in tests or examination, students are likely to be the victims of stress. Our argument is that, students stress has not gained much attention since most scholars were preoccupied with the conventional work related stress as opposed to academic students stress. Institutions world wide"
Q2,How does examination pressure contribute to academic stress?,1,DOC006_CHUNK_010,Exploring English-majored Students' Academic Stress and Coping Strategies: A Mixed Method Research at a Private University,Truong Dinh Minh Dang,2025,paper_06.txt,0.7758,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","research by Misra, Mckean, West, and Russo (2 000) identified the pressure of meeting assessment deadlines as a significant source of stress for students. Academic stress is often associated with exam preparation, competit ion for grades, and the challenge of absorbing large amounts of material within a limited time (Kohn & Frazer, 1986). The imbalance between course load and available time is another factor contributing to academic stress (Zeidner, 1992). Studies indicate that firstyear students often view their coursework as demanding, and this perce ption is linked to heightened exam -related stress (Mani, 2010). Talib and Zai -ur-Rehman (2012) found that 53% of students identified course load as a major stressor, which negatively impacted their GPA. Additionally, students report that the pressure to re view all material before exams is stressful, and while the exam itself may not be the direct cause of stress, the potential impact on their academic and professional future is a signif icant concern (Mani, 2010). Stress Factors in Educational Contexts Stress is part and parcel of education; caused by a combination of academic, social and"
Q2,How does examination pressure contribute to academic stress?,2,DOC002_CHUNK_047,Examine the Effects of High-Stake Testing on Student’s Mental Health at University Level: A Survey Research,"Dr. Farkhanda Jabeen, Ruqia, and Laiba Bahar",2025,paper_02.txt,0.761,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","the stress of exams (Table 19). These findings are reinforced by the PSS scores, which suggest that stress management resources remain insufficient for the needs of many students. A crucial area for administrative and policy reform is indicated by this discrepancy between student needs and university support systems. For students to better handle academic pressure and enhance their general well -being, universities should think about introducing structured intervention programs, counselling services, and stress reduction courses. Conclusion Overall, the data indicates that while students are aware of the importance of high-stakes exams, they face significant emotional, mental, and physical challenges due to the pressure these exams create. Many students feel that these tests don't always accurately represent their talents, and stress, anxiety, and feelings of overload are typical. Additionally, the data indicates that although students have created their own coping mechanisms, there is a perceived deficiency of institutional assistance to assist them in coping with the stress of high-stakes exams. The Perceived Stress Scale (PSS) results further reinforce these concerns, with a substantial portion of respondents scoring in the moderat e"
Q2,How does examination pressure contribute to academic stress?,3,DOC002_CHUNK_005,Examine the Effects of High-Stake Testing on Student’s Mental Health at University Level: A Survey Research,"Dr. Farkhanda Jabeen, Ruqia, and Laiba Bahar",2025,paper_02.txt,0.759,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","testing environments typically produce pressure to perform and act as a catalyst for acute stress responses (such as increased cortisol levels and increased heart rates) and chronic anxiety that may last indefinitely beyond the breadth of the examination period (Fejes et al., 2020; Fernández-Castillo & Caurcel, 2019; Weekes et al., 2006). The stress manifests when students regard test scores as determining the fate of their future in life, creating a high -stakes pressure environment that can create challenge s to their psychological resilience (Galla et al., 2018; Högberg & Horn, 2022). Poor performance in such exams not only increases anxiety and stress but also depression among students (Galloway, 2013). It is indeed the worst dilemma when students are under pressure to perform well on the test meant to determine their performance, to gain admission or graduate in future. For example, one study clearly demonstrated that students having test anxiety show major symptoms of worrying, fears, and tension during the examination period (Zeidner, 2014). This type of stress is not only sickening but also leads to disastrous consequences in a person's"
Q2,How does examination pressure contribute to academic stress?,4,DOC019_CHUNK_033,"Perceived and Academic Stress Levels in First Year Undergraduates of Selected Degree Awarding Institutions in Western Province, Sri Lanka, and Exploring Their Methods of Coping with Stress",Ushamandhani Mohanraj,2018,paper_19.txt,0.7386,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","Psycho- logical pressure to perform well in tests, examinations, expectations from peers, friends, family members and attending of lectures were among the common sources of the students stress while at the campus. --- Page 7 --- . Our study also found out that, the major causes of stress among students are academic workload, inadequate resources, low motivation, and poor performance in academic work, continuous performance in academic work, overcrowded lecture halls, and uncertainty of geting jobs after graduation from the university. This finding is quite consistent with earlier studies (Erkutlu and Chafra, 2006). The university management need to address the above issues raised by the students in order to manage the academic environment conducive for learning. With the semesterisation of the academic programmes, students are required to accomplish many modules within short period of time which is coupled with continuous assessment test (CAT), assignments, attend lectures, and present term papers beside other extra curriculum activities. These present students with a lot of pressure, coupled with the pressure of preparing and passing of the examination. Indeed poor performance and continuous poor"
Q2,How does examination pressure contribute to academic stress?,5,DOC006_CHUNK_009,Exploring English-majored Students' Academic Stress and Coping Strategies: A Mixed Method Research at a Private University,Truong Dinh Minh Dang,2025,paper_06.txt,0.7369,Yes,"This result identifies high expectations, information overload, academic pressure, competition, and assessment deadlines as causes of student stress.","include career decision -making, forming new relationships, adapting to unfamiliar ideas that challenge prior beliefs, and adjusting to living away from home (Lumley & Provenzano, 2003). Baker emphasizes that the succes s of this adjustment largely depends on a student’s ability to c ope with stress, which subsequently influences their academic motivation and performance. DeBerard, Spielmans, and Julka (2004) propose that social support from friends, peers, and religi ous communities serves as a protective factor, assisting students in managing stress during this transitional phase. In academic environments, stress commonly stems from high expectations, information overload, academic pressure, unrealistic goals, limit ed opportunities, and intense competition, all of which contribute to a nxiety, fear, and tension among students (Sinha, Sharma, & Nepal, 2001). Dahlin, Joneborg, and Runeson (2005) found that undergraduate students experience the highest levels of study related pressure. Likewise, research by Misra, Mckean, West, and Russo (2 000) identified the pressure of meeting assessment deadlines as a significant source of stress for students. Academic stress is often associated with exam preparation, competit ion for grades, and the challenge of"
