document_id,title,authors,year,topic,pdf_file,text_file
DOC001,"Academic stress as a predictor of mental health in university students","Pamela Córdova Olivera, Patricia Gasser Gordillo, Hernán Naranjo Mejía, Isabel La Fuente Taborga, Alberto Grajeda Chacón, and Alberto Sanjinés Unzueta",2023,"Academic stress",paper_01.pdf,paper_01.txt
DOC002,"Examine the Effects of High-Stake Testing on Student’s Mental Health at University Level: A Survey Research","Dr. Farkhanda Jabeen, Ruqia, and Laiba Bahar",2025,"Exam pressure",paper_02.pdf,paper_02.txt
DOC003,"Internship stress in students","Manya Nangia and Nandini Garg",2025,"Internship pressure",paper_03.pdf,paper_03.txt
DOC004,"Work-Study-Life Balance – the Concept, its Dyads, Socio-Demographic Predictors and Emotional Consequences","Nina Pološki Vokić, Milka Rimac Bilušić, and Iva Perić",2021,"Study-life balance",paper_04.pdf,paper_04.txt
DOC005,"Due Tomorrow? Do Tomorrow: An Inquiry into EFL Students’ Online Assignment Submission Behaviors","Erdi Şimşek and Kenan Çetin",2024,"Assignment pressure",paper_05.pdf,paper_05.txt
DOC006,"Exploring English-majored Students' Academic Stress and Coping Strategies: A Mixed Method Research at a Private University","Truong Dinh Minh Dang",2025,"Coping strategies",paper_06.pdf,paper_06.txt
DOC007,"A Comparison of Mental Well-being among Female Undergraduates in Sri Lanka based on Relationship Status","J. C. Gomes, L. Ponnamperuma, and A. Hettiarachchi",2024,"Undergraduate mental health",paper_07.pdf,paper_07.txt
DOC008,"Depression, Anxiety and Stress Levels Among Allied Health Undergraduates in a Defence University, Sri Lanka","Chandima Kumara Walpita Gamage, Vithanage Buddhini Jayathri Perera, Kaarthiga Sivendran, Dilshara Kithmini Jayasuriya Patabandige, Subashi Deshapriya Hewa Dewage, and Neil Francis Joseph Fernando",2021,"Sri Lankan higher education",paper_08.pdf,paper_08.txt
DOC009,"Longitudinal effects of stress in an academic context on psychological well-being, physiological markers, health behaviors, and academic performance in university students","Juan Camilo Benítez-Agudelo, Dayana Restrepo, Eduardo Navarro-Jimenez, and Vicente Javier Clemente-Suárez",2025,"Performance pressure",paper_09.pdf,paper_09.txt
DOC010,"Financial stress among college students: New data about student loan debt, lack of emergency savings, social and personal resources","Rachel Danahy, Cäzilia Loibl, Catherine P. Montalto, and Dean Lillard",2024,"Financial pressure",paper_10.pdf,paper_10.txt
DOC011,"Academic stress and its psychosocial and behavioral determinants in medical students: Findings from a cross-sectional study","Md Rizwanul Karim, S. A. Sazin Haque, Faiza Rumeen, and Purna Aruneema",2026,"Academic stress",paper_11.pdf,paper_11.txt
DOC012,"The Relationship Between Academic Stress and Academic Performance of Undergraduate Students from Public and Private Universities in Lahore","Rabiya Safdar and Sana Javaid",2023,"Performance pressure",paper_12.pdf,paper_12.txt
DOC013,"Prevalence of depression among students at a Sri Lankan University: A study using the Patient Health Questionnaire-9 (PHQ-9) during the COVID-19 pandemic","Ayanthi Wickramasinghe, Birgitta Essén, Rajendra Surenthikumaran, and Pia Axemo",2023,"Sri Lankan higher education",paper_13.pdf,paper_13.txt
DOC014,"Silent struggles: a qualitative study exploring mental health challenges of undergraduate healthcare students","Shahd Al-Najdi, Abdulla Mansoor, Ola Al Hayk, Najah Al-Hashimi, Kamran Ali, and Alaa Daud",2025,"Undergraduate mental health",paper_14.pdf,paper_14.txt
DOC015,"An Exploration of the Prevalence, Causes, and Coping Strategies of Stress Among University Students in Sri Lanka","Thushthika A. I. and Chathurika J. N.",2025,"Sri Lankan higher education",paper_15.pdf,paper_15.txt
DOC016,"Optimizing Study-life Balance within Higher Education: A Comprehensive Literature Review","Ryan Hatcher and Yosung Hwang",2020,"Study-life balance",paper_16.pdf,paper_16.txt
DOC017,"Effects of Levels of Self-Regulation and Regulatory Teaching on Strategies for Coping With Academic Stress in Undergraduate Students","Jesús de la Fuente, Jorge Amate, María Carmen González-Torres, Raquel Artuch, Juan Manuel García-Torrecillas, and Salvatore Fadda",2020,"Coping strategies",paper_17.pdf,paper_17.txt
DOC018,"Academic Pressure and Emotional Well-Being in Higher Education: The Role of Negative Emotions in College Students’ Academic Performance","Alfina Lu'luzzahro, Dewi Puspitasari, and Khristianto",2025,"Performance pressure",paper_18.pdf,paper_18.txt
DOC019,"Perceived and Academic Stress Levels in First Year Undergraduates of Selected Degree Awarding Institutions in Western Province, Sri Lanka, and Exploring Their Methods of Coping with Stress","Ushamandhani Mohanraj",2018,"Coping strategies",paper_19.pdf,paper_19.txt
DOC020,"Effects of Academic Stress on Mental Health Issues Among University Students","Mahvish Fatima Kashif, Rabia Tabassum, and Sumaira Bibi",2024,"Academic stress",paper_20.pdf,paper_20.txt
